,word,sentiment
179,population,['positive']
180,sense,['positive']
181,hope,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
182,voucher,['trust']
183,gush,"['disgust', 'joy', 'negative']"
184,innovation,['positive']
185,thoughtfulness,['positive']
186,passion,"['anticipation', 'joy', 'positive', 'trust']"
187,agree,['positive']
188,mistake,"['negative', 'sadness']"
189,misery,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
190,option,['positive']
191,cover,['trust']
192,err,['negative']
193,journalist,['positive']
194,incite,"['anger', 'anticipation', 'fear', 'negative']"
195,plea,"['anticipation', 'fear', 'negative', 'sadness']"
196,award,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
197,witch,"['anger', 'disgust', 'fear', 'negative']"
198,insurrection,"['anger', 'negative']"
199,thought,['anticipation']
200,excluding,"['negative', 'sadness']"
201,heritage,['trust']
202,action,['positive']
203,freedom,"['joy', 'positive', 'trust']"
204,die,"['fear', 'negative', 'sadness']"
205,naive,['negative']
206,peaceful,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
207,agreement,"['positive', 'trust']"
208,impression,['positive']
209,partisan,['negative']
210,black,"['negative', 'sadness']"
211,beauty,"['joy', 'positive']"
212,trophy,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
213,captain,['positive']
214,gray,"['disgust', 'sadness']"
215,sky,['positive']
216,glad,"['anticipation', 'joy', 'positive']"
217,opposition,"['anger', 'negative']"
218,festival,"['anticipation', 'joy', 'positive', 'surprise']"
219,smile,"['joy', 'positive', 'surprise', 'trust']"
220,pretend,['negative']
221,system,['trust']
222,damn,"['anger', 'disgust', 'negative']"
223,protector,"['positive', 'trust']"
224,recovery,['positive']
225,unsuccessful,"['negative', 'sadness']"
226,sleek,['positive']
227,premier,['positive']
228,importance,"['anticipation', 'positive']"
229,saturated,"['disgust', 'negative']"
230,lack,['negative']
231,bad,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
232,sir,"['positive', 'trust']"
233,hanging,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
234,choice,['positive']
235,sarcasm,"['anger', 'disgust', 'negative', 'sadness']"
236,explain,"['positive', 'trust']"
237,cursed,"['anger', 'fear', 'negative', 'sadness']"
238,worry,"['anticipation', 'fear', 'negative', 'sadness']"
239,joke,['negative']
240,obvious,"['positive', 'trust']"
241,illegal,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
242,fight,"['anger', 'fear', 'negative']"
243,bias,"['anger', 'negative']"
244,expected,['anticipation']
245,charger,['positive']
246,guess,['surprise']
247,offering,['trust']
248,objective,"['anticipation', 'positive', 'trust']"
249,daughter,"['joy', 'positive']"
250,safe,"['joy', 'positive', 'trust']"
251,bother,['negative']
252,tenant,['positive']
253,ultimate,"['anticipation', 'sadness']"
254,upright,"['positive', 'trust']"
255,chance,['surprise']
256,favorite,"['joy', 'positive', 'trust']"
257,death,"['anger', 'anticipation', 'disgust', 'fear', 'negative', 'sadness', 'surprise']"
258,tax,"['negative', 'sadness']"
259,designer,['positive']
260,cute,['positive']
261,dynamic,['surprise']
262,true,"['joy', 'positive', 'trust']"
263,smash,"['anger', 'fear', 'negative']"
264,rat,"['disgust', 'fear', 'negative']"
265,hospital,"['fear', 'sadness', 'trust']"
266,police,"['fear', 'positive', 'trust']"
267,dinner,['positive']
268,primary,['positive']
269,tired,['negative']
270,white,"['anticipation', 'joy', 'positive', 'trust']"
271,disgusting,"['anger', 'disgust', 'fear', 'negative']"
272,headache,['negative']
273,launch,"['anticipation', 'positive']"
274,providing,"['anticipation', 'joy', 'positive', 'trust']"
275,lucky,"['joy', 'positive', 'surprise']"
276,wild,"['negative', 'surprise']"
277,lower,"['negative', 'sadness']"
278,lesser,"['disgust', 'negative']"
279,shortage,"['anger', 'fear', 'negative', 'sadness']"
280,store,"['anticipation', 'positive']"
281,demand,"['anger', 'negative']"
282,fall,"['negative', 'sadness']"
283,rock,['positive']
284,worse,"['fear', 'negative', 'sadness']"
285,equally,['positive']
286,completely,['positive']
287,politics,['anger']
288,ache,"['negative', 'sadness']"
289,main,['positive']
290,wait,"['anticipation', 'negative']"
291,younger,['positive']
292,brother,"['positive', 'trust']"
293,dust,['negative']
294,resistant,"['fear', 'negative']"
