,word,sentiment
177,honest,"['anger', 'disgust', 'fear', 'joy', 'positive', 'sadness', 'trust']"
178,expect,"['anticipation', 'positive', 'surprise', 'trust']"
179,rocket,['anger']
180,practice,['positive']
181,worth,['positive']
182,extra,['positive']
183,beer,"['joy', 'positive']"
184,god,"['anticipation', 'fear', 'joy', 'positive', 'trust']"
185,decent,['positive']
186,amen,"['joy', 'positive', 'trust']"
187,blame,"['anger', 'disgust', 'negative']"
188,interested,"['disgust', 'positive', 'sadness']"
189,reason,['positive']
190,portable,['positive']
191,shopping,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
192,lightning,"['anger', 'fear', 'surprise']"
193,magnet,"['positive', 'trust']"
194,agree,['positive']
195,drawback,['negative']
196,real,"['positive', 'trust']"
197,late,"['negative', 'sadness']"
198,deal,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
199,core,['positive']
200,patent,['positive']
201,lawsuit,"['anger', 'disgust', 'fear', 'negative', 'sadness', 'surprise']"
202,planning,"['anticipation', 'positive', 'trust']"
203,vacation,"['anticipation', 'joy', 'positive']"
204,battle,"['anger', 'negative']"
205,defect,"['anger', 'negative']"
206,spoil,"['disgust', 'negative']"
207,provide,"['positive', 'trust']"
208,customer,['positive']
209,confidence,"['fear', 'joy', 'positive', 'trust']"
210,rear,['negative']
211,offering,['trust']
212,offer,['positive']
213,primary,['positive']
214,reading,['positive']
215,mover,['positive']
216,advantage,['positive']
217,spirit,['positive']
218,talk,['positive']
219,forget,['negative']
220,fire,['fear']
221,backbone,"['anger', 'positive', 'trust']"
222,ability,['positive']
223,unfold,"['anticipation', 'positive']"
224,epic,['positive']
225,cap,"['anticipation', 'trust']"
226,shell,"['anger', 'fear', 'negative', 'sadness', 'surprise']"
227,dust,['negative']
228,expecting,['anticipation']
229,usual,"['positive', 'trust']"
230,corporation,"['positive', 'trust']"
231,hearing,"['fear', 'negative']"
232,pick,['positive']
233,minimum,['negative']
234,shit,"['anger', 'disgust', 'negative']"
235,glad,"['anticipation', 'joy', 'positive']"
236,bad,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
237,option,['positive']
238,participation,['positive']
239,sir,"['positive', 'trust']"
240,ready,['anticipation']
241,splash,['surprise']
242,stable,"['positive', 'trust']"
243,advice,['trust']
244,waste,"['disgust', 'negative']"
245,mountain,['anticipation']
246,visit,['positive']
247,durable,"['positive', 'trust']"
248,protector,"['positive', 'trust']"
249,abundant,"['joy', 'positive']"
250,base,['trust']
251,trust,['trust']
252,diversified,['positive']
253,extensive,['positive']
254,traditional,['positive']
255,waterproof,['positive']
256,fell,"['negative', 'sadness']"
257,achieve,"['joy', 'positive', 'trust']"
258,fool,"['disgust', 'negative']"
259,intelligent,"['positive', 'trust']"
260,serve,"['negative', 'trust']"
261,lost,"['negative', 'sadness']"
262,excellent,"['joy', 'positive', 'trust']"
263,advanced,['positive']
264,unnatural,"['disgust', 'fear', 'negative']"
265,worse,"['fear', 'negative', 'sadness']"
266,unknown,"['anticipation', 'fear', 'negative']"
267,ongoing,['anticipation']
268,robust,['positive']
269,ahead,['positive']
270,notification,['anticipation']
271,split,['negative']
272,risk,"['anticipation', 'fear', 'negative']"
273,outrageous,['surprise']
274,favorite,"['joy', 'positive', 'trust']"
275,fixed,['trust']
276,patch,['negative']
277,renewal,['positive']
278,birthday,"['anticipation', 'joy', 'positive', 'surprise']"
279,disappointed,"['anger', 'disgust', 'negative', 'sadness']"
280,cover,['trust']
281,theoretical,['positive']
282,received,['positive']
283,trump,['surprise']
284,install,['anticipation']
285,automatic,['trust']
286,sense,['positive']
287,build,['positive']
288,delivery,"['anticipation', 'positive']"
289,management,"['positive', 'trust']"
290,thought,['anticipation']
291,killing,"['anger', 'fear', 'negative', 'sadness']"
292,ugly,"['disgust', 'negative']"
293,worthy,"['positive', 'trust']"
294,limited,"['anger', 'negative', 'sadness']"
295,kind,"['joy', 'positive', 'trust']"
296,bath,['positive']
297,professional,"['positive', 'trust']"
298,solution,['positive']
299,manage,"['positive', 'trust']"
300,poll,['trust']
301,hot,['anger']
302,heel,['negative']
303,crime,"['anger', 'negative']"
304,creative,['positive']
305,beast,"['anger', 'fear', 'negative']"
306,relative,['trust']
307,opportunity,"['anticipation', 'positive']"
308,emphasize,['trust']
309,fact,['trust']
310,include,['positive']
311,versus,"['anger', 'negative']"
312,young,"['anticipation', 'joy', 'positive', 'surprise']"
313,farce,['negative']
314,blue,['sadness']
315,long,['anticipation']
316,effort,['positive']
317,satisfied,"['joy', 'positive']"
318,bound,['negative']
